País de residencia;Tipo de dato;Periodo;Total
Total;Dato base;2023M05;8.218.334
Total;Dato base;2023M04;7.235.055
Total;Dato base;2023M03;5.257.076
Total;Dato base;2023M02;4.321.152
Total;Dato base;2023M01;4.147.345
Total;Dato base;2022M12;4.127.293
Total;Dato base;2022M11;4.334.651
Total;Dato base;2022M10;7.176.984
Total;Dato base;2022M09;7.767.211
Total;Dato base;2022M08;8.848.665
Total;Dato base;2022M07;9.091.390
Total;Dato base;2022M06;7.498.156
Total;Dato base;2022M05;6.988.353
Total;Dato base;2022M04;6.106.316
Total;Dato base;2022M03;4.039.532
Total;Dato base;2022M02;3.179.288
Total;Dato base;2022M01;2.501.443
Total;Dato base;2021M12;2.947.525
Total;Dato base;2021M11;3.361.913
Total;Dato base;2021M10;5.148.820
Total;Dato base;2021M09;4.703.933
Total;Dato base;2021M08;5.196.520
Total;Dato base;2021M07;4.398.992
Total;Dato base;2021M06;2.216.356
Total;Dato base;2021M05;1.363.164
Total;Dato base;2021M04;629.206
Total;Dato base;2021M03;491.427
Total;Dato base;2021M02;284.974
Total;Dato base;2021M01;437.973
Total;Dato base;2020M12;648.989
Total;Dato base;2020M11;456.814
Total;Dato base;2020M10;1.020.773
Total;Dato base;2020M09;1.138.868
Total;Dato base;2020M08;2.440.978
Total;Dato base;2020M07;2.464.779
Total;Dato base;2020M06;204.272
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;1.997.262
Total;Dato base;2020M02;4.427.344
Total;Dato base;2020M01;4.133.024
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
Total;Dato base;2017M12;3.982.530
Total;Dato base;2017M11;4.392.575
Total;Dato base;2017M10;7.269.931
Total;Dato base;2017M09;8.877.270
Total;Dato base;2017M08;10.397.745
Total;Dato base;2017M07;10.493.438
Total;Dato base;2017M06;8.431.975
Total;Dato base;2017M05;8.002.648
Total;Dato base;2017M04;7.081.594
Total;Dato base;2017M03;4.913.943
Total;Dato base;2017M02;4.119.137
Total;Dato base;2017M01;3.905.736
Total;Dato base;2016M12;3.990.446
Total;Dato base;2016M11;4.098.262
Total;Dato base;2016M10;7.137.723
Total;Dato base;2016M09;7.932.607
Total;Dato base;2016M08;10.027.471
Total;Dato base;2016M07;9.545.792
Total;Dato base;2016M06;7.552.758
Total;Dato base;2016M05;7.111.154
Total;Dato base;2016M04;6.086.327
Total;Dato base;2016M03;4.627.206
Total;Dato base;2016M02;3.678.726
Total;Dato base;2016M01;3.526.537
Total;Dato base;2015M12;3.512.914
Total;Dato base;2015M11;3.754.802
Total;Dato base;2015M10;6.432.341
Total;Tasa de variación anual;2023M05;17,60
Total;Tasa de variación anual;2023M04;18,48
Total;Tasa de variación anual;2023M03;30,14
Total;Tasa de variación anual;2023M02;35,92
Total;Tasa de variación anual;2023M01;65,80
Total;Tasa de variación anual;2022M12;40,03
Total;Tasa de variación anual;2022M11;28,93
Total;Tasa de variación anual;2022M10;39,39
Total;Tasa de variación anual;2022M09;65,12
Total;Tasa de variación anual;2022M08;70,28
Total;Tasa de variación anual;2022M07;106,67
Total;Tasa de variación anual;2022M06;238,31
Total;Tasa de variación anual;2022M05;412,66
Total;Tasa de variación anual;2022M04;870,48
Total;Tasa de variación anual;2022M03;722,00
Total;Tasa de variación anual;2022M02;1.015,64
Total;Tasa de variación anual;2022M01;471,14
Total;Tasa de variación anual;2021M12;354,17
Total;Tasa de variación anual;2021M11;635,95
Total;Tasa de variación anual;2021M10;404,40
Total;Tasa de variación anual;2021M09;313,04
Total;Tasa de variación anual;2021M08;112,89
Total;Tasa de variación anual;2021M07;78,47
Total;Tasa de variación anual;2021M06;985,00
Total;Tasa de variación anual;2021M05;..
Total;Tasa de variación anual;2021M04;..
Total;Tasa de variación anual;2021M03;-75,39
Total;Tasa de variación anual;2021M02;-93,56
Total;Tasa de variación anual;2021M01;-89,40
Total;Tasa de variación anual;2020M12;-84,92
Total;Tasa de variación anual;2020M11;-90,19
Total;Tasa de variación anual;2020M10;-86,55
Total;Tasa de variación anual;2020M09;-87,12
Total;Tasa de variación anual;2020M08;-75,88
Total;Tasa de variación anual;2020M07;-75,04
Total;Tasa de variación anual;2020M06;-97,69
Total;Tasa de variación anual;2020M05;-100,00
Total;Tasa de variación anual;2020M04;-100,00
Total;Tasa de variación anual;2020M03;-64,65
Total;Tasa de variación anual;2020M02;1,07
Total;Tasa de variación anual;2020M01;-1,49
Total;Tasa de variación anual;2019M12;-1,15
Total;Tasa de variación anual;2019M11;2,60
Total;Tasa de variación anual;2019M10;-0,81
Total;Tasa de variación anual;2019M09;-0,98
Total;Tasa de variación anual;2019M08;-0,56
Total;Tasa de variación anual;2019M07;-1,47
Total;Tasa de variación anual;2019M06;3,27
Total;Tasa de variación anual;2019M05;-2,06
Total;Tasa de variación anual;2019M04;5,39
Total;Tasa de variación anual;2019M03;4,75
Total;Tasa de variación anual;2019M02;3,85
Total;Tasa de variación anual;2019M01;2,17
Total;Tasa de variación anual;2018M12;9,35
Total;Tasa de variación anual;2018M11;3,29
Total;Tasa de variación anual;2018M10;5,23
Total;Tasa de variación anual;2018M09;0,62
Total;Tasa de variación anual;2018M08;-2,13
Total;Tasa de variación anual;2018M07;-4,51
Total;Tasa de variación anual;2018M06;1,45
Total;Tasa de variación anual;2018M05;1,04
Total;Tasa de variación anual;2018M04;-4,25
Total;Tasa de variación anual;2018M03;9,75
Total;Tasa de variación anual;2018M02;2,40
Total;Tasa de variación anual;2018M01;5,14
Total;Tasa de variación anual;2017M12;-0,20
Total;Tasa de variación anual;2017M11;7,18
Total;Tasa de variación anual;2017M10;1,85
Total;Tasa de variación anual;2017M09;11,91
Total;Tasa de variación anual;2017M08;3,69
Total;Tasa de variación anual;2017M07;9,93
Total;Tasa de variación anual;2017M06;11,64
Total;Tasa de variación anual;2017M05;12,54
Total;Tasa de variación anual;2017M04;16,35
Total;Tasa de variación anual;2017M03;6,20
Total;Tasa de variación anual;2017M02;11,97
Total;Tasa de variación anual;2017M01;10,75
Total;Tasa de variación anual;2016M12;13,59
Total;Tasa de variación anual;2016M11;9,15
Total;Tasa de variación anual;2016M10;10,97
Total;Tasa de variación anual;2016M09;9,52
Total;Tasa de variación anual;2016M08;6,34
Total;Tasa de variación anual;2016M07;9,99
Total;Tasa de variación anual;2016M06;12,89
Total;Tasa de variación anual;2016M05;8,19
Total;Tasa de variación anual;2016M04;11,59
Total;Tasa de variación anual;2016M03;15,45
Total;Tasa de variación anual;2016M02;13,95
Total;Tasa de variación anual;2016M01;11,04
Total;Tasa de variación anual;2015M12;7,92
Total;Tasa de variación anual;2015M11;10,56
Total;Tasa de variación anual;2015M10;8,89
Total;Acumulado en lo que va de año;2023M05;29.178.962
Total;Acumulado en lo que va de año;2023M04;20.960.628
Total;Acumulado en lo que va de año;2023M03;13.725.573
Total;Acumulado en lo que va de año;2023M02;8.468.497
Total;Acumulado en lo que va de año;2023M01;4.147.345
Total;Acumulado en lo que va de año;2022M12;71.659.281
Total;Acumulado en lo que va de año;2022M11;67.531.989
Total;Acumulado en lo que va de año;2022M10;63.197.338
Total;Acumulado en lo que va de año;2022M09;56.020.354
Total;Acumulado en lo que va de año;2022M08;48.253.143
Total;Acumulado en lo que va de año;2022M07;39.404.478
Total;Acumulado en lo que va de año;2022M06;30.313.089
Total;Acumulado en lo que va de año;2022M05;22.814.932
Total;Acumulado en lo que va de año;2022M04;15.826.580
Total;Acumulado en lo que va de año;2022M03;9.720.263
Total;Acumulado en lo que va de año;2022M02;5.680.731
Total;Acumulado en lo que va de año;2022M01;2.501.443
Total;Acumulado en lo que va de año;2021M12;31.180.802
Total;Acumulado en lo que va de año;2021M11;28.233.277
Total;Acumulado en lo que va de año;2021M10;24.871.364
Total;Acumulado en lo que va de año;2021M09;19.722.543
Total;Acumulado en lo que va de año;2021M08;15.018.611
Total;Acumulado en lo que va de año;2021M07;9.822.091
Total;Acumulado en lo que va de año;2021M06;5.423.099
Total;Acumulado en lo que va de año;2021M05;3.206.743
Total;Acumulado en lo que va de año;2021M04;1.843.579
Total;Acumulado en lo que va de año;2021M03;1.214.373
Total;Acumulado en lo que va de año;2021M02;722.947
Total;Acumulado en lo que va de año;2021M01;437.973
Total;Acumulado en lo que va de año;2020M12;18.933.103
Total;Acumulado en lo que va de año;2020M11;18.284.113
Total;Acumulado en lo que va de año;2020M10;17.827.299
Total;Acumulado en lo que va de año;2020M09;16.806.526
Total;Acumulado en lo que va de año;2020M08;15.667.658
Total;Acumulado en lo que va de año;2020M07;13.226.680
Total;Acumulado en lo que va de año;2020M06;10.761.901
Total;Acumulado en lo que va de año;2020M05;10.557.629
Total;Acumulado en lo que va de año;2020M04;10.557.629
Total;Acumulado en lo que va de año;2020M03;10.557.629
Total;Acumulado en lo que va de año;2020M02;8.560.367
Total;Acumulado en lo que va de año;2020M01;4.133.024
Total;Acumulado en lo que va de año;2019M12;83.509.153
Total;Acumulado en lo que va de año;2019M11;79.204.413
Total;Acumulado en lo que va de año;2019M10;74.549.391
Total;Acumulado en lo que va de año;2019M09;66.961.642
Total;Acumulado en lo que va de año;2019M08;58.116.490
Total;Acumulado en lo que va de año;2019M07;47.998.124
Total;Acumulado en lo que va de año;2019M06;38.124.854
Total;Acumulado en lo que va de año;2019M05;29.290.961
Total;Acumulado en lo que va de año;2019M04;21.371.757
Total;Acumulado en lo que va de año;2019M03;14.225.723
Total;Acumulado en lo que va de año;2019M02;8.576.146
Total;Acumulado en lo que va de año;2019M01;4.195.641
Total;Acumulado en lo que va de año;2018M12;82.808.413
Total;Acumulado en lo que va de año;2018M11;78.453.616
Total;Acumulado en lo que va de año;2018M10;73.916.743
Total;Acumulado en lo que va de año;2018M09;66.266.882
Total;Acumulado en lo que va de año;2018M08;57.334.574
Total;Acumulado en lo que va de año;2018M07;47.158.813
Total;Acumulado en lo que va de año;2018M06;37.138.567
Total;Acumulado en lo que va de año;2018M05;28.584.261
Total;Acumulado en lo que va de año;2018M04;20.498.213
Total;Acumulado en lo que va de año;2018M03;13.717.834
Total;Acumulado en lo que va de año;2018M02;8.324.648
Total;Acumulado en lo que va de año;2018M01;4.106.601
Total;Acumulado en lo que va de año;2017M12;81.868.522
Total;Acumulado en lo que va de año;2017M11;77.885.991
Total;Acumulado en lo que va de año;2017M10;73.493.416
Total;Acumulado en lo que va de año;2017M09;66.223.486
Total;Acumulado en lo que va de año;2017M08;57.346.216
Total;Acumulado en lo que va de año;2017M07;46.948.471
Total;Acumulado en lo que va de año;2017M06;36.455.033
Total;Acumulado en lo que va de año;2017M05;28.023.059
Total;Acumulado en lo que va de año;2017M04;20.020.410
Total;Acumulado en lo que va de año;2017M03;12.938.816
Total;Acumulado en lo que va de año;2017M02;8.024.873
Total;Acumulado en lo que va de año;2017M01;3.905.736
Total;Acumulado en lo que va de año;2016M12;75.315.008
Total;Acumulado en lo que va de año;2016M11;71.324.562
Total;Acumulado en lo que va de año;2016M10;67.226.301
Total;Acumulado en lo que va de año;2016M09;60.088.578
Total;Acumulado en lo que va de año;2016M08;52.155.971
Total;Acumulado en lo que va de año;2016M07;42.128.500
Total;Acumulado en lo que va de año;2016M06;32.582.708
Total;Acumulado en lo que va de año;2016M05;25.029.951
Total;Acumulado en lo que va de año;2016M04;17.918.796
Total;Acumulado en lo que va de año;2016M03;11.832.469
Total;Acumulado en lo que va de año;2016M02;7.205.263
Total;Acumulado en lo que va de año;2016M01;3.526.537
Total;Acumulado en lo que va de año;2015M12;""
Total;Acumulado en lo que va de año;2015M11;""
Total;Acumulado en lo que va de año;2015M10;""
Total;Tasa de variación acumulada;2023M05;27,89
Total;Tasa de variación acumulada;2023M04;32,44
Total;Tasa de variación acumulada;2023M03;41,21
Total;Tasa de variación acumulada;2023M02;49,07
Total;Tasa de variación acumulada;2023M01;65,80
Total;Tasa de variación acumulada;2022M12;129,82
Total;Tasa de variación acumulada;2022M11;139,19
Total;Tasa de variación acumulada;2022M10;154,10
Total;Tasa de variación acumulada;2022M09;184,04
Total;Tasa de variación acumulada;2022M08;221,29
Total;Tasa de variación acumulada;2022M07;301,18
Total;Tasa de variación acumulada;2022M06;458,96
Total;Tasa de variación acumulada;2022M05;611,47
Total;Tasa de variación acumulada;2022M04;758,47
Total;Tasa de variación acumulada;2022M03;700,43
Total;Tasa de variación acumulada;2022M02;685,77
Total;Tasa de variación acumulada;2022M01;471,14
Total;Tasa de variación acumulada;2021M12;64,69
Total;Tasa de variación acumulada;2021M11;54,41
Total;Tasa de variación acumulada;2021M10;39,51
Total;Tasa de variación acumulada;2021M09;17,35
Total;Tasa de variación acumulada;2021M08;-4,14
Total;Tasa de variación acumulada;2021M07;-25,74
Total;Tasa de variación acumulada;2021M06;-49,61
Total;Tasa de variación acumulada;2021M05;-69,63
Total;Tasa de variación acumulada;2021M04;-82,54
Total;Tasa de variación acumulada;2021M03;-88,50
Total;Tasa de variación acumulada;2021M02;-91,55
Total;Tasa de variación acumulada;2021M01;-89,40
Total;Tasa de variación acumulada;2020M12;-77,33
Total;Tasa de variación acumulada;2020M11;-76,92
Total;Tasa de variación acumulada;2020M10;-76,09
Total;Tasa de variación acumulada;2020M09;-74,90
Total;Tasa de variación acumulada;2020M08;-73,04
Total;Tasa de variación acumulada;2020M07;-72,44
Total;Tasa de variación acumulada;2020M06;-71,77
Total;Tasa de variación acumulada;2020M05;-63,96
Total;Tasa de variación acumulada;2020M04;-50,60
Total;Tasa de variación acumulada;2020M03;-25,78
Total;Tasa de variación acumulada;2020M02;-0,18
Total;Tasa de variación acumulada;2020M01;-1,49
Total;Tasa de variación acumulada;2019M12;0,85
Total;Tasa de variación acumulada;2019M11;0,96
Total;Tasa de variación acumulada;2019M10;0,86
Total;Tasa de variación acumulada;2019M09;1,05
Total;Tasa de variación acumulada;2019M08;1,36
Total;Tasa de variación acumulada;2019M07;1,78
Total;Tasa de variación acumulada;2019M06;2,66
Total;Tasa de variación acumulada;2019M05;2,47
Total;Tasa de variación acumulada;2019M04;4,26
Total;Tasa de variación acumulada;2019M03;3,70
Total;Tasa de variación acumulada;2019M02;3,02
Total;Tasa de variación acumulada;2019M01;2,17
Total;Tasa de variación acumulada;2018M12;1,15
Total;Tasa de variación acumulada;2018M11;0,73
Total;Tasa de variación acumulada;2018M10;0,58
Total;Tasa de variación acumulada;2018M09;0,07
Total;Tasa de variación acumulada;2018M08;-0,02
Total;Tasa de variación acumulada;2018M07;0,45
Total;Tasa de variación acumulada;2018M06;1,88
Total;Tasa de variación acumulada;2018M05;2,00
Total;Tasa de variación acumulada;2018M04;2,39
Total;Tasa de variación acumulada;2018M03;6,02
Total;Tasa de variación acumulada;2018M02;3,74
Total;Tasa de variación acumulada;2018M01;5,14
Total;Tasa de variación acumulada;2017M12;8,70
Total;Tasa de variación acumulada;2017M11;9,20
Total;Tasa de variación acumulada;2017M10;9,32
Total;Tasa de variación acumulada;2017M09;10,21
Total;Tasa de variación acumulada;2017M08;9,95
Total;Tasa de variación acumulada;2017M07;11,44
Total;Tasa de variación acumulada;2017M06;11,88
Total;Tasa de variación acumulada;2017M05;11,96
Total;Tasa de variación acumulada;2017M04;11,73
Total;Tasa de variación acumulada;2017M03;9,35
Total;Tasa de variación acumulada;2017M02;11,38
Total;Tasa de variación acumulada;2017M01;10,75
Total;Tasa de variación acumulada;2016M12;10,46
Total;Tasa de variación acumulada;2016M11;10,29
Total;Tasa de variación acumulada;2016M10;10,36
Total;Tasa de variación acumulada;2016M09;10,29
Total;Tasa de variación acumulada;2016M08;10,41
Total;Tasa de variación acumulada;2016M07;11,42
Total;Tasa de variación acumulada;2016M06;11,85
Total;Tasa de variación acumulada;2016M05;11,54
Total;Tasa de variación acumulada;2016M04;12,93
Total;Tasa de variación acumulada;2016M03;13,64
Total;Tasa de variación acumulada;2016M02;12,50
Total;Tasa de variación acumulada;2016M01;11,04
Total;Tasa de variación acumulada;2015M12;""
Total;Tasa de variación acumulada;2015M11;""
Total;Tasa de variación acumulada;2015M10;""
Alemania;Dato base;2023M05;1.061.949
Alemania;Dato base;2023M04;1.009.916
Alemania;Dato base;2023M03;673.584
Alemania;Dato base;2023M02;509.883
Alemania;Dato base;2023M01;478.258
Alemania;Dato base;2022M12;453.940
Alemania;Dato base;2022M11;526.060
Alemania;Dato base;2022M10;1.059.486
Alemania;Dato base;2022M09;1.141.699
Alemania;Dato base;2022M08;1.111.063
Alemania;Dato base;2022M07;1.097.080
Alemania;Dato base;2022M06;1.132.151
Alemania;Dato base;2022M05;976.860
Alemania;Dato base;2022M04;990.455
Alemania;Dato base;2022M03;608.382
Alemania;Dato base;2022M02;389.420
Alemania;Dato base;2022M01;282.002
Alemania;Dato base;2021M12;404.430
Alemania;Dato base;2021M11;480.277
Alemania;Dato base;2021M10;929.665
Alemania;Dato base;2021M09;833.147
Alemania;Dato base;2021M08;679.144
Alemania;Dato base;2021M07;707.397
Alemania;Dato base;2021M06;500.058
Alemania;Dato base;2021M05;338.709
Alemania;Dato base;2021M04;143.500
Alemania;Dato base;2021M03;104.567
Alemania;Dato base;2021M02;36.877
Alemania;Dato base;2021M01;51.123
Alemania;Dato base;2020M12;82.722
Alemania;Dato base;2020M11;76.410
Alemania;Dato base;2020M10;83.329
Alemania;Dato base;2020M09;88.109
Alemania;Dato base;2020M08;296.447
Alemania;Dato base;2020M07;430.014
Alemania;Dato base;2020M06;34.547
Alemania;Dato base;2020M05;0
Alemania;Dato base;2020M04;0
Alemania;Dato base;2020M03;273.067
Alemania;Dato base;2020M02;533.079
Alemania;Dato base;2020M01;493.713
Alemania;Dato base;2019M12;495.062
Alemania;Dato base;2019M11;569.008
Alemania;Dato base;2019M10;1.126.442
Alemania;Dato base;2019M09;1.265.644
Alemania;Dato base;2019M08;1.130.065
Alemania;Dato base;2019M07;1.243.087
Alemania;Dato base;2019M06;1.295.337
Alemania;Dato base;2019M05;1.085.570
Alemania;Dato base;2019M04;1.072.814
Alemania;Dato base;2019M03;809.144
Alemania;Dato base;2019M02;548.064
Alemania;Dato base;2019M01;517.785
Alemania;Dato base;2018M12;537.026
Alemania;Dato base;2018M11;575.223
Alemania;Dato base;2018M10;1.229.193
Alemania;Dato base;2018M09;1.363.598
Alemania;Dato base;2018M08;1.261.896
Alemania;Dato base;2018M07;1.281.415
Alemania;Dato base;2018M06;1.206.593
Alemania;Dato base;2018M05;1.180.827
Alemania;Dato base;2018M04;917.613
Alemania;Dato base;2018M03;823.232
Alemania;Dato base;2018M02;536.034
Alemania;Dato base;2018M01;502.305
Alemania;Dato base;2017M12;481.391
Alemania;Dato base;2017M11;592.676
Alemania;Dato base;2017M10;1.223.097
Alemania;Dato base;2017M09;1.404.947
Alemania;Dato base;2017M08;1.341.709
Alemania;Dato base;2017M07;1.385.774
Alemania;Dato base;2017M06;1.419.474
Alemania;Dato base;2017M05;1.190.326
Alemania;Dato base;2017M04;1.138.904
Alemania;Dato base;2017M03;718.709
Alemania;Dato base;2017M02;518.185
Alemania;Dato base;2017M01;482.184
Alemania;Dato base;2016M12;456.142
Alemania;Dato base;2016M11;545.434
Alemania;Dato base;2016M10;1.280.465
Alemania;Dato base;2016M09;1.292.163
Alemania;Dato base;2016M08;1.366.503
Alemania;Dato base;2016M07;1.296.255
Alemania;Dato base;2016M06;1.222.455
Alemania;Dato base;2016M05;1.192.192
Alemania;Dato base;2016M04;866.532
Alemania;Dato base;2016M03;737.620
Alemania;Dato base;2016M02;483.878
Alemania;Dato base;2016M01;469.017
Alemania;Dato base;2015M12;401.150
Alemania;Dato base;2015M11;510.192
Alemania;Dato base;2015M10;1.067.611
Alemania;Tasa de variación anual;2023M05;8,71
Alemania;Tasa de variación anual;2023M04;1,96
Alemania;Tasa de variación anual;2023M03;10,72
Alemania;Tasa de variación anual;2023M02;30,93
Alemania;Tasa de variación anual;2023M01;69,59
Alemania;Tasa de variación anual;2022M12;12,24
Alemania;Tasa de variación anual;2022M11;9,53
Alemania;Tasa de variación anual;2022M10;13,96
Alemania;Tasa de variación anual;2022M09;37,03
Alemania;Tasa de variación anual;2022M08;63,60
Alemania;Tasa de variación anual;2022M07;55,09
Alemania;Tasa de variación anual;2022M06;126,40
Alemania;Tasa de variación anual;2022M05;188,41
Alemania;Tasa de variación anual;2022M04;590,21
Alemania;Tasa de variación anual;2022M03;481,81
Alemania;Tasa de variación anual;2022M02;956,00
Alemania;Tasa de variación anual;2022M01;451,61
Alemania;Tasa de variación anual;2021M12;388,90
Alemania;Tasa de variación anual;2021M11;528,55
Alemania;Tasa de variación anual;2021M10;1.015,66
Alemania;Tasa de variación anual;2021M09;845,59
Alemania;Tasa de variación anual;2021M08;129,09
Alemania;Tasa de variación anual;2021M07;64,51
Alemania;Tasa de variación anual;2021M06;1.347,47
Alemania;Tasa de variación anual;2021M05;..
Alemania;Tasa de variación anual;2021M04;..
Alemania;Tasa de variación anual;2021M03;-61,71
Alemania;Tasa de variación anual;2021M02;-93,08
Alemania;Tasa de variación anual;2021M01;-89,65
Alemania;Tasa de variación anual;2020M12;-83,29
Alemania;Tasa de variación anual;2020M11;-86,57
Alemania;Tasa de variación anual;2020M10;-92,60
Alemania;Tasa de variación anual;2020M09;-93,04
Alemania;Tasa de variación anual;2020M08;-73,77
Alemania;Tasa de variación anual;2020M07;-65,41
Alemania;Tasa de variación anual;2020M06;-97,33
Alemania;Tasa de variación anual;2020M05;-100,00
Alemania;Tasa de variación anual;2020M04;-100,00
Alemania;Tasa de variación anual;2020M03;-66,25
Alemania;Tasa de variación anual;2020M02;-2,73
Alemania;Tasa de variación anual;2020M01;-4,65
Alemania;Tasa de variación anual;2019M12;-7,81
Alemania;Tasa de variación anual;2019M11;-1,08
Alemania;Tasa de variación anual;2019M10;-8,36
Alemania;Tasa de variación anual;2019M09;-7,18
Alemania;Tasa de variación anual;2019M08;-10,45
Alemania;Tasa de variación anual;2019M07;-2,99
Alemania;Tasa de variación anual;2019M06;7,35
Alemania;Tasa de variación anual;2019M05;-8,07
Alemania;Tasa de variación anual;2019M04;16,91
Alemania;Tasa de variación anual;2019M03;-1,71
Alemania;Tasa de variación anual;2019M02;2,24
Alemania;Tasa de variación anual;2019M01;3,08
Alemania;Tasa de variación anual;2018M12;11,56
Alemania;Tasa de variación anual;2018M11;-2,94
Alemania;Tasa de variación anual;2018M10;0,50
Alemania;Tasa de variación anual;2018M09;-2,94
Alemania;Tasa de variación anual;2018M08;-5,95
Alemania;Tasa de variación anual;2018M07;-7,53
Alemania;Tasa de variación anual;2018M06;-15,00
Alemania;Tasa de variación anual;2018M05;-0,80
Alemania;Tasa de variación anual;2018M04;-19,43
Alemania;Tasa de variación anual;2018M03;14,54
Alemania;Tasa de variación anual;2018M02;3,44
Alemania;Tasa de variación anual;2018M01;4,17
Alemania;Tasa de variación anual;2017M12;5,54
Alemania;Tasa de variación anual;2017M11;8,66
Alemania;Tasa de variación anual;2017M10;-4,48
Alemania;Tasa de variación anual;2017M09;8,73
Alemania;Tasa de variación anual;2017M08;-1,81
Alemania;Tasa de variación anual;2017M07;6,91
Alemania;Tasa de variación anual;2017M06;16,12
Alemania;Tasa de variación anual;2017M05;-0,16
Alemania;Tasa de variación anual;2017M04;31,43
Alemania;Tasa de variación anual;2017M03;-2,56
Alemania;Tasa de variación anual;2017M02;7,09
Alemania;Tasa de variación anual;2017M01;2,81
Alemania;Tasa de variación anual;2016M12;13,71
Alemania;Tasa de variación anual;2016M11;6,91
Alemania;Tasa de variación anual;2016M10;19,94
Alemania;Tasa de variación anual;2016M09;1,11
Alemania;Tasa de variación anual;2016M08;0,56
Alemania;Tasa de variación anual;2016M07;5,93
Alemania;Tasa de variación anual;2016M06;13,48
Alemania;Tasa de variación anual;2016M05;4,26
Alemania;Tasa de variación anual;2016M04;2,04
Alemania;Tasa de variación anual;2016M03;11,62
Alemania;Tasa de variación anual;2016M02;8,02
Alemania;Tasa de variación anual;2016M01;-0,51
Alemania;Tasa de variación anual;2015M12;-16,17
Alemania;Tasa de variación anual;2015M11;-5,49
Alemania;Tasa de variación anual;2015M10;1,64
Alemania;Acumulado en lo que va de año;2023M05;3.733.590
Alemania;Acumulado en lo que va de año;2023M04;2.671.641
Alemania;Acumulado en lo que va de año;2023M03;1.661.725
Alemania;Acumulado en lo que va de año;2023M02;988.142
Alemania;Acumulado en lo que va de año;2023M01;478.258
Alemania;Acumulado en lo que va de año;2022M12;9.768.600
Alemania;Acumulado en lo que va de año;2022M11;9.314.660
Alemania;Acumulado en lo que va de año;2022M10;8.788.600
Alemania;Acumulado en lo que va de año;2022M09;7.729.114
Alemania;Acumulado en lo que va de año;2022M08;6.587.415
Alemania;Acumulado en lo que va de año;2022M07;5.476.351
Alemania;Acumulado en lo que va de año;2022M06;4.379.271
Alemania;Acumulado en lo que va de año;2022M05;3.247.119
Alemania;Acumulado en lo que va de año;2022M04;2.270.259
Alemania;Acumulado en lo que va de año;2022M03;1.279.804
Alemania;Acumulado en lo que va de año;2022M02;671.422
Alemania;Acumulado en lo que va de año;2022M01;282.002
Alemania;Acumulado en lo que va de año;2021M12;5.208.894
Alemania;Acumulado en lo que va de año;2021M11;4.804.464
Alemania;Acumulado en lo que va de año;2021M10;4.324.187
Alemania;Acumulado en lo que va de año;2021M09;3.394.521
Alemania;Acumulado en lo que va de año;2021M08;2.561.375
Alemania;Acumulado en lo que va de año;2021M07;1.882.231
Alemania;Acumulado en lo que va de año;2021M06;1.174.834
Alemania;Acumulado en lo que va de año;2021M05;674.777
Alemania;Acumulado en lo que va de año;2021M04;336.067
Alemania;Acumulado en lo que va de año;2021M03;192.567
Alemania;Acumulado en lo que va de año;2021M02;88.000
Alemania;Acumulado en lo que va de año;2021M01;51.123
Alemania;Acumulado en lo que va de año;2020M12;2.391.437
Alemania;Acumulado en lo que va de año;2020M11;2.308.715
Alemania;Acumulado en lo que va de año;2020M10;2.232.305
Alemania;Acumulado en lo que va de año;2020M09;2.148.976
Alemania;Acumulado en lo que va de año;2020M08;2.060.866
Alemania;Acumulado en lo que va de año;2020M07;1.764.420
Alemania;Acumulado en lo que va de año;2020M06;1.334.406
Alemania;Acumulado en lo que va de año;2020M05;1.299.859
Alemania;Acumulado en lo que va de año;2020M04;1.299.859
Alemania;Acumulado en lo que va de año;2020M03;1.299.859
Alemania;Acumulado en lo que va de año;2020M02;1.026.792
Alemania;Acumulado en lo que va de año;2020M01;493.713
Alemania;Acumulado en lo que va de año;2019M12;11.158.022
Alemania;Acumulado en lo que va de año;2019M11;10.662.960
Alemania;Acumulado en lo que va de año;2019M10;10.093.952
Alemania;Acumulado en lo que va de año;2019M09;8.967.510
Alemania;Acumulado en lo que va de año;2019M08;7.701.866
Alemania;Acumulado en lo que va de año;2019M07;6.571.800
Alemania;Acumulado en lo que va de año;2019M06;5.328.714
Alemania;Acumulado en lo que va de año;2019M05;4.033.377
Alemania;Acumulado en lo que va de año;2019M04;2.947.807
